temperature	V(n002)	I(R1)
-1.000000000000000e+02	8.641744e-01	8.271651e-04
-9.500000000000000e+01	8.555146e-01	8.288971e-04
-9.000000000000000e+01	8.468197e-01	8.306361e-04
-8.500000000000000e+01	8.380908e-01	8.323818e-04
-8.000000000000000e+01	8.293289e-01	8.341342e-04
-7.500000000000000e+01	8.205348e-01	8.358930e-04
-7.000000000000000e+01	8.117094e-01	8.376581e-04
-6.500000000000000e+01	8.028535e-01	8.394293e-04
-6.000000000000000e+01	7.939679e-01	8.412064e-04
-5.500000000000000e+01	7.850533e-01	8.429894e-04
-5.000000000000000e+01	7.761104e-01	8.447779e-04
-4.500000000000000e+01	7.671398e-01	8.465720e-04
-4.000000000000000e+01	7.581423e-01	8.483715e-04
-3.500000000000000e+01	7.491183e-01	8.501763e-04
-3.000000000000000e+01	7.400686e-01	8.519863e-04
-2.500000000000000e+01	7.309937e-01	8.538013e-04
-2.000000000000000e+01	7.218940e-01	8.556212e-04
-1.500000000000000e+01	7.127702e-01	8.574459e-04
-1.000000000000000e+01	7.036227e-01	8.592755e-04
-5.000000000000000e+00	6.944520e-01	8.611096e-04
0.000000000000000e+00	6.852585e-01	8.629483e-04
5.000000000000000e+00	6.760427e-01	8.647915e-04
1.000000000000000e+01	6.668051e-01	8.666390e-04
1.500000000000000e+01	6.575460e-01	8.684908e-04
2.000000000000000e+01	6.482658e-01	8.703468e-04
2.500000000000000e+01	6.389649e-01	8.722070e-04
3.000000000000000e+01	6.296437e-01	8.740713e-04
3.500000000000000e+01	6.203026e-01	8.759395e-04
4.000000000000000e+01	6.109418e-01	8.778116e-04
4.500000000000000e+01	6.015617e-01	8.796877e-04
5.000000000000000e+01	5.921627e-01	8.815675e-04
5.500000000000000e+01	5.827451e-01	8.834510e-04
6.000000000000000e+01	5.733091e-01	8.853382e-04
6.500000000000000e+01	5.638551e-01	8.872290e-04
7.000000000000000e+01	5.543833e-01	8.891234e-04
7.500000000000000e+01	5.448940e-01	8.910212e-04
8.000000000000000e+01	5.353875e-01	8.929225e-04
8.500000000000000e+01	5.258641e-01	8.948272e-04
9.000000000000000e+01	5.163240e-01	8.967352e-04
9.500000000000000e+01	5.067674e-01	8.986465e-04
1.000000000000000e+02	4.971946e-01	9.005610e-04
1.050000000000000e+02	4.876059e-01	9.024788e-04
1.100000000000000e+02	4.780014e-01	9.043997e-04
1.150000000000000e+02	4.683814e-01	9.063237e-04
1.200000000000000e+02	4.587461e-01	9.082508e-04
1.250000000000000e+02	4.490957e-01	9.101809e-04
1.300000000000000e+02	4.394304e-01	9.121139e-04
1.350000000000000e+02	4.297505e-01	9.140499e-04
1.400000000000000e+02	4.200560e-01	9.159888e-04
1.450000000000000e+02	4.103474e-01	9.179305e-04
1.500000000000000e+02	4.006247e-01	9.198750e-04
